Area_type,Availability,Location,No of rooms (BHK),Society,Total_sqft,No of bathrooms,Balcony,Price (in Lakhs)
Super built-up  Area,Ready To Move,HBR Layout,3,Gats He,1722,3,,95
Super built-up  Area,Ready To Move,Indira Nagar,3,ToSky F,2800,3,1,330
Plot  Area,Immediate Possession,IVC Road,2,Orana N,5634,,,124
Carpet  Area,Ready To Move,Jaya Mahal layout,3,Fanorrt,1650,3,3,175
Built-up  Area,Ready To Move,BSM Extension,2,Raave E,840,2,2,27
Built-up  Area,Ready To Move,Jigani,2,DLhtsan,914,2,2,47
Super built-up  Area,Not yet Ready,Hennur Road,3,Puachal,1482,2,2,83.73
Super built-up  Area,Not yet Ready,Kundalahalli,3,Dieldli,1724,3,2,127
Super built-up  Area,Ready To Move,Vijinapura,3,Vadidpl,1670,3,3,91.86
Super built-up  Area,Ready To Move,Banaswadi,2,,1184,2,3,53
Super built-up  Area,Ready To Move,Kodigehaali,2,,1200,2,1,55
Plot  Area,Ready To Move,TC Palaya,2,,1200,2,0,65
Super built-up  Area,Ready To Move,Jigani,2,DLhtsen,927,2,2,55
Super built-up  Area,Ready To Move,P&T Layout,2,,1242,2,3,39.7
Built-up  Area,Not yet Ready,Electronic City Phase II,3,Sryalan,1220,3,1,35.23
Built-up  Area,Ready To Move,Electronic City,3,GMown E,1360,2,1,75
Plot  Area,Ready To Move,Brookefield,4,,2800,4,2,240
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Hiestre,1180,2,2,72
Super built-up  Area,Ready To Move,Whitefield,3,Prtates,1697,3,2,108
Super built-up  Area,Ready To Move,Yelahanka New Town,2,,550,2,1,26
Super built-up  Area,Ready To Move,Hennur,2,Shateor,1225,2,1,57
Super built-up  Area,Ready To Move,Byrasandra,3,ViisePa,1690,2,2,55
Plot  Area,Not yet Ready,SBM Colony,10,,1660,10,,475
Super built-up  Area,Ready To Move,Veerannapalya,3,,1488,3,,57
Built-up  Area,Ready To Move,Chowdeshwari Layout,3,Keharya,1250,2,1,80
Super built-up  Area,Ready To Move,JP Nagar,1,Duoveoo,1050,1,1,44
Super built-up  Area,Ready To Move,HSR Layout,2,,1027,2,2,44
Super built-up  Area,Not yet Ready,Kanakpura Road,3,GolusLi,1699,3,3,81.94
Built-up  Area,Ready To Move,Whitefield,2,Viaree ,1205,2,2,58
Plot  Area,Ready To Move,Mathikere Extension,4,,712,2,1,67.5
Super built-up  Area,Not yet Ready,Horamavu Agara,2,,950,2,3,39
Plot  Area,Ready To Move,TC Palaya,2,,1200,2,0,70
Super built-up  Area,Ready To Move,Akshaya Nagar,3,Hiows C,1476,3,1,120
Built-up  Area,Ready To Move,CV Raman Nagar,2,,1070,2,1,55
Super built-up  Area,Ready To Move,EPIP Zone,3,BrontLa,2160,4,2,172
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2,Putus L,1296,2,1,75
Built-up  Area,Ready To Move,Chikkalasandra,2,,1800,1,1,128
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1570,3,3,64.5
Super built-up  Area,Ready To Move,Koramangala,2,Saace P,1300,2,3,110
Built-up  Area,Ready To Move,Sarjapur,4,,1550,2,2,65
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,770,1,1,40
Built-up  Area,Ready To Move,Jalahalli,3,Kuownri,1870,3,,110
Plot  Area,Ready To Move,Anantapura,3,Edleyil,1650,4,,160
Super built-up  Area,Ready To Move,Domlur,3,Valipf ,1429,3,3,86
Super built-up  Area,Not yet Ready,Babusapalaya,3,,1167,2,2,39.98
Super built-up  Area,Not yet Ready,Bommasandra,2,SSestth,1035,2,1,41.73
Super built-up  Area,Ready To Move,Kengeri,3,,1188,2,2,38
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5,,1200,4,2,285
Plot  Area,Ready To Move,Sarjapur,3,Inensba,1574,3,1,76
Super built-up  Area,Ready To Move,Nagarbhavi,1,MaentNa,884,2,2,36
Super built-up  Area,Ready To Move,Haralur Road,2,,1194,2,2,46
Super built-up  Area,Not yet Ready,Hoodi,2,Caycend,1026,2,1,60.87
Plot  Area,Ready To Move,Shivaji Nagar,7,,1400,6,3,200
Super built-up  Area,Ready To Move,Kaikondrahalli,2,,1115,2,2,50
Plot  Area,Ready To Move,Hebbal Kempapura,2,,1200,2,1,125
Super built-up  Area,Not yet Ready,Old Airport Road,4,Jaades ,2690,4,3,191
Super built-up  Area,Ready To Move,Subramanyapura,2,Mayne A,975,2,1,58
Plot  Area,Ready To Move,Hosa Road,3,,675,3,2,72.5
Super built-up  Area,Ready To Move,Chamrajpet,4,,1900,2,1,170
Plot  Area,Not yet Ready,Banashankari,3,,600,3,1,100
Super built-up  Area,Ready To Move,OMBR Layout,2,,1101,2,2,65.5
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Maana E,1700,3,3,135
Super built-up  Area,Ready To Move,Whitefield,4,PrOakSi,3606,4,2,312
Super built-up  Area,Ready To Move,Padmanabhanagar,2,ACersd ,1258,2,2,115
Carpet  Area,Ready To Move,Kanakpura Road,3,Advash ,1560,3,,92
Super built-up  Area,Ready To Move,Old Madras Road,4,Brica E,3630,6,1,195
Built-up  Area,Ready To Move,JP Nagar,3,Adace P,2000,3,2,250
Super built-up  Area,Not yet Ready,Hebbal,4,Raard B,2790,4,3,198
Super built-up  Area,Not yet Ready,Badavala Nagar,3,DNncasa,1494,2,2,94.55
Super built-up  Area,Not yet Ready,Hennur Road,3,Puachal,1482,2,1,87
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2,Inuseda,800,2,3,50
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,,1185,2,2,47.39
Super built-up  Area,Ready To Move,Hulimavu,2,RatosAr,1100,2,2,71.5
Built-up  Area,Ready To Move,NRI Layout,2,,1300,2,0,120
Super built-up  Area,Ready To Move,4th Block Koramangala,2,EvestPi,1225,2,2,150
Super built-up  Area,Ready To Move,Hulimavu,3,,1758,3,2,65
Super built-up  Area,Ready To Move,Banaswadi,2,,1145,2,2,55
Built-up  Area,Ready To Move,Hormavu,2,BhncyRe,1180,2,2,50
Super built-up  Area,Ready To Move,Belatur,2,Kehts H,1260,2,2,58
Super built-up  Area,Not yet Ready,Yelahanka,4,Vaaram ,3450,,,173
Built-up  Area,Ready To Move,Arekere,2,DancyRe,1190,2,2,55
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Klark L,1691,3,2,119
Super built-up  Area,Not yet Ready,Lalbagh Road,4,,3675,4,3,367
Built-up  Area,Ready To Move,Frazer Town,3,Frhts H,1305,3,,95.45
Super built-up  Area,Not yet Ready,Basavangudi,3,,2337,4,3,292
Plot  Area,Ready To Move,Kamakya Layout,2,,1200,2,2,150
Super built-up  Area,Not yet Ready,Domlur,2,,1206,2,1,217
Plot  Area,Ready To Move,Vignana Nagar,5,,1350,4,1,130
Super built-up  Area,Ready To Move,Kogilu,2,,1140,2,1,50.66
Super built-up  Area,Ready To Move,Nallurhalli,2,Mauil T,1250,2,2,65
Plot  Area,Ready To Move,Kamakshipalya,3,,600,2,1,60
Super built-up  Area,Not yet Ready,Chinnapanahalli,2,,1225,2,2,48
Built-up  Area,Ready To Move,Kereguddadahalli,2,N iewak,800,2,2,28
Super built-up  Area,Ready To Move,Jalahalli East,2,ShshaSa,1020,2,1,58
Built-up  Area,Ready To Move,TC Palaya,4,,2100,2,1,50
Plot  Area,Ready To Move,Lingarajapuram,2,,1350,2,1,80
Super built-up  Area,Ready To Move,Anekal,2,,925,2,1,40
Built-up  Area,Ready To Move,Yelachenahalli,4,,1800,3,1,220
Built-up  Area,Ready To Move,3rd Block HBR Layout,3,,2000,3,1,100
Built-up  Area,Ready To Move,Frazer Town,3,Loente ,1510,2,1,75
Plot  Area,Ready To Move,Kasavanhalli,5,,5800,7,,1200
Super built-up  Area,Ready To Move,Laxmi Sagar Layout,3,DubowRa,1614,3,1,110
Plot  Area,Ready To Move,Yeshwanthpur,3,,682,2,1,130
Plot  Area,Ready To Move,Gottigere,2,,1200,2,0,95
Plot  Area,Ready To Move,TC Palaya,2,,900,2,0,55
Built-up  Area,Ready To Move,Bommenahalli,4,Prana S,1632,3,0,145
Super built-up  Area,Ready To Move,OMBR Layout,2,,1041,2,2,65.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,6,BriumMi,5080,7,,450
Super built-up  Area,Not yet Ready,Bannerghatta,4,Mamespa,3012,6,2,250
Super built-up  Area,Ready To Move,Marathahalli,3,,1530,3,2,74.5
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3,NCdgerj,1450,2,2,135
Super built-up  Area,Ready To Move,Bannerghatta Road,2,Hiate F,1200,2,2,75
Plot  Area,Ready To Move,Sahakara Nagar,4,,1200,4,,130
Super built-up  Area,Ready To Move,Hosur Road,3,PuendWe,1508,2,1,110
Built-up  Area,Ready To Move,New Gurappana Palya,7,,600,7,3,106
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2,AlEcone,1188,2,3,73
Super built-up  Area,Not yet Ready,Old Airport Road,4,Jaades ,2690,4,3,199
Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,1174,2,1,76
Super built-up  Area,Not yet Ready,Old Madras Road,3,SheldGr,1350,3,1,58.99
Super built-up  Area,Ready To Move,Frazer Town,3,Bamita ,1870,3,3,185
Super built-up  Area,Not yet Ready,Kengeri Satellite Town,2,DSestSt,1072,2,1,25
Plot  Area,Ready To Move,Nelamangala,3,,5272,2,1,140
Super built-up  Area,Not yet Ready,Kengeri,2,VBn 2lm,726,2,1,31
Super built-up  Area,Ready To Move,Hosur Road,2,Saageat,1345,2,2,106
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,45
Built-up  Area,Ready To Move,Nagavarapalya,2,,980,2,0,37
Super built-up  Area,Ready To Move,Hormavu,2,SyidaCr,1050,2,1,77
Super built-up  Area,Ready To Move,Uttarahalli,2,,993,2,1,39.71
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,,1300,2,2,52
Super built-up  Area,Ready To Move,Vittasandra,3,Prlla C,1743,3,2,85
Plot  Area,Ready To Move,Whitefield,4,,1204,4,1,125
Plot  Area,Ready To Move,Hormavu,2,,1200,2,0,67
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3,,1480,3,2,90
Super built-up  Area,Ready To Move,Sarjapur,2,Sondaka,950,2,2,32.5
Built-up  Area,Ready To Move,Domlur,1,Saiewas,640,1,0,55
Super built-up  Area,Not yet Ready,Electronic City Phase II,2,MJtroty,972,2,1,44
Super built-up  Area,Ready To Move,Marathahalli,3,PadgeOa,1840,3,3,98
Super built-up  Area,Ready To Move,Electronic City,2,Prarkun,1128,2,1,64
Plot  Area,Ready To Move,Hongasandra,2,,680,2,0,42
Plot  Area,Ready To Move,Harappanahalli,2,Clood E,2400,2,1,95
Built-up  Area,Ready To Move,Basapura,2,,1045,2,2,42
Built-up  Area,Ready To Move,Roopena Agrahara,2,,955,2,3,53.55
Super built-up  Area,Ready To Move,Doddakallasandra,3,,1360,2,2,54.39
Super built-up  Area,Ready To Move,BTM Layout,2,Mames M,1150,2,2,63
Built-up  Area,Not yet Ready,Hennur Road,4,Gollela,3450,4,3,294
Super built-up  Area,Not yet Ready,Chennammana Kere,2,,1115,2,2,56.87
Super built-up  Area,Ready To Move,Jigani,2,DLhtsen,920,2,2,46
Super built-up  Area,Not yet Ready,Bommasandra Industrial Area,2,,1030,2,1,41
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1564,3,1,101
Super built-up  Area,Ready To Move,Uttarahalli,2,SirlsPe,1045,2,1,45
Plot  Area,Ready To Move,Hegde Nagar,4,,1200,4,1,83
Built-up  Area,Ready To Move,Subramanyapura,2,,1277,2,2,55
Super built-up  Area,Ready To Move,Kanaka Nagar,3,SoniaPe,2479.13,3,1,215
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Adeatlm,1846,3,2,140
Built-up  Area,Ready To Move,Tasker Town,2,,1100,2,0,106
Super built-up  Area,Ready To Move,Govindpura,3,Muncy R,1690,3,,75
Plot  Area,Not yet Ready,Hormavu,2,,1200,3,0,70
Built-up  Area,Ready To Move,Yelahanka,4,InllaPa,3042,4,0,131
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,3,223
Built-up  Area,Not yet Ready,NR Colony,2,GKncysi,1068,2,1,40.05
Super built-up  Area,Ready To Move,Kanakpura Road,2,SGiewrk,1135,2,2,58
Super built-up  Area,Ready To Move,Agara Village,3,,1925,3,2,120
Super built-up  Area,Ready To Move,Begur Road,3,,1615,3,2,60
Super built-up  Area,Ready To Move,Shettigere,1,,650,1,1,26
Plot  Area,Ready To Move,Chikkasandra,9,,1200,9,3,120
Super built-up  Area,Ready To Move,Kaggadasapura,2,AnaveEn,1150,2,3,42
Plot  Area,Ready To Move,Kothannur,6,,930,6,1,135
Super built-up  Area,Not yet Ready,Kenchanehalli R R Nagar,3,,1410,2,2,45.12
Built-up  Area,Ready To Move,6th Phase JP Nagar,3,,600,2,0,100
Super built-up  Area,Not yet Ready,Kumara Park,3,,2000,3,3,207
Super built-up  Area,Ready To Move,Tumkur Road,3,Sahtsva,1354,3,1,90
Plot  Area,Ready To Move,BEL Road,2,,1050,2,0,110
Built-up  Area,Ready To Move,Arekere,1,,600,1,1,28
Plot  Area,Ready To Move,Varthur,4,SLncyaj,1320,2,1,110
Super built-up  Area,Not yet Ready,Koramangala,3,,1600,3,2,88
Built-up  Area,Ready To Move,Kanakpura Road,4,ColeyNa,3500,6,2,225
Super built-up  Area,Ready To Move,GM Palaya,2,Samesan,1000,2,1,36
Super built-up  Area,Ready To Move,Byagadadhenahalli,3,VBavaai,1130,3,1,38
Super built-up  Area,Ready To Move,Vittasandra,2,,1238,2,1,67
Super built-up  Area,Ready To Move,Ashwathnagar,3,Vaour S,2204,2,3,305
Plot  Area,Ready To Move,KR Puram,8,,1200,12,,110
Super built-up  Area,Not yet Ready,Kudlu Gate,3,,1364,2,3,46.38
Built-up  Area,Ready To Move,Srinivasa Nagar,2,,900,2,1,45
Super built-up  Area,Ready To Move,Gubbalala,3,MauilTr,1745,3,2,104
Super built-up  Area,Ready To Move,Kogilu,2,,1200,2,1,53.33
Super built-up  Area,Ready To Move,Kanakapura,2,,1020,2,1,42.83
Super built-up  Area,Not yet Ready,Banashankari Stage III,3,,1650,3,2,118
Super built-up  Area,Ready To Move,Doddabommasandra,3,MaaveEn,1550,2,3,70
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,,1440,2,2,60
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,Soe 2as,1329,2,2,45.95
Super built-up  Area,Ready To Move,Maruthi Layout,2,Prareth,916,2,1,42
Super built-up  Area,Ready To Move,Hulimavu,1,NiarkHy,688,1,2,50
Super built-up  Area,Ready To Move,Sree Narayana Nagar,3,Sholaya,1358,3,3,50
Super built-up  Area,Not yet Ready,Kanakpura Road,2,Soazak ,1331,2,1,107
Super built-up  Area,Ready To Move,Malleshwaram,1,Kaamai ,686,1,1,62.5
Super built-up  Area,Ready To Move,Hoodi,2,Sulla S,1050,2,2,50
Super built-up  Area,Ready To Move,Talaghattapura,3,Sodgere,2106,3,2,126
Super built-up  Area,Not yet Ready,Bhoganhalli,3,Rosha I,1718,3,2,90.2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1530,3,2,57
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2,,1206,2,2,56
Built-up  Area,Ready To Move,Hebbal,2,Arade A,1075,2,3,52
Plot  Area,Not yet Ready,Sarjapur  Road,3,,1200,3,1,95
Super built-up  Area,Not yet Ready,Tunganagara,3,DSdidSp,1936,2,2,54.21
Super built-up  Area,Ready To Move,Nagavara,4,K dotna,2172.65,3,3,120
Super built-up  Area,Ready To Move,Sahakara Nagar,3,,1100,2,2,75
Plot  Area,Ready To Move,BTM 2nd Stage,3,,1260,5,1,185
Plot  Area,Ready To Move,Hongasandra,8,,990,12,0,120
Plot  Area,Ready To Move,Jalahalli East,3,,800,2,1,80
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Soikaa ,1117,2,3,29.99
Built-up  Area,Ready To Move,Remco Bhel Layout,3,Suncy R,1685,2,1,110
Super built-up  Area,Ready To Move,CV Raman Nagar,2,AnncyRe,740,2,1,37
Plot  Area,Ready To Move,Chamrajpet,4,,1080,4,2,250
Plot  Area,Ready To Move,Magadi Road,4,,1500,2,2,93
Super built-up  Area,Ready To Move,Banashankari,3,Bregae ,1800,3,2,115
Super built-up  Area,Ready To Move,Yelachenahalli,3,PuontBe,1700,3,2,130
Built-up  Area,Ready To Move,Uttarahalli,2,Kinumsh,850,2,2,37.93
Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,1891,3,1,139
Built-up  Area,Ready To Move,Jalahalli,2,Prensin,1400,1,1,80
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,,1172,2,2,82
Super built-up  Area,Not yet Ready,Electronic City Phase II,3,,1400,2,2,40.43
Built-up  Area,Ready To Move,Sonnenahalli,2,DSgam S,896,2,1,43.75
Super built-up  Area,Not yet Ready,Vijayanagar,2,Saityat,1180,2,2,65
Plot  Area,Ready To Move,Basaveshwara Nagar,7,,2460,7,1,350
Built-up  Area,Ready To Move,Chokkasandra,2,Siise R,850,2,1,33
Super built-up  Area,Not yet Ready,Anekal,1,,530,1,1,18
Super built-up  Area,Not yet Ready,2nd Block Hrbr Layout,3,,1550,3,3,110
Super built-up  Area,Ready To Move,Jalahalli,2,Tahtsla,1701,2,2,145
Plot  Area,Ready To Move,Agrahara Dasarahalli,3,,1350,1,0,120
Super built-up  Area,Ready To Move,Hosa Road,2,SSaleRo,1016,2,1,39.95
Super built-up  Area,Ready To Move,KEB Colony,3,,1500,3,1,90
Built-up  Area,Ready To Move,Akshaya Nagar,2,Baalp S,900,2,1,45
Super built-up  Area,Ready To Move,Sanjay nagar,3,Viara M,1500,3,1,150
Super built-up  Area,Ready To Move,Chikku Lakshmaiah Layout,3,Prlis A,2292,2,1,285
Carpet  Area,Ready To Move,Kereguddadahalli,3,Jaood G,1280,3,1,42
Plot  Area,Ready To Move,Sri Balaji Krupa Layout,4,KrodsNo,1750,4,2,263
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1500,2,1,70
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1500,2,1,64.5
Super built-up  Area,Ready To Move,Gottigere,2,SMshi M,1245,2,2,59
Super built-up  Area,Ready To Move,Yelahanka,2,,1025,2,1,44
Super built-up  Area,Ready To Move,Hennur Gardens,3,PlhtsHe,1945,3,2,135
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,3,245
Built-up  Area,Ready To Move,Hegde Nagar,3,DSthian,1348,2,2,80.5
Super built-up  Area,Ready To Move,Tindlu,2,Suncyu ,1100,2,2,55
Super built-up  Area,Ready To Move,Kammasandra,3,Elentrk,1616,3,3,40
Super built-up  Area,Ready To Move,Yeshwanthpur,3,Goandn ,1855,3,3,135
Super built-up  Area,Ready To Move,Hennur,2,Shateor,1255,2,2,56.5
Plot  Area,Ready To Move,HAL 2nd Stage,5,,2040,4,1,500
Plot  Area,Ready To Move,5th Phase JP Nagar,4,,2400,4,1,228
Super built-up  Area,Ready To Move,Kothanur,2,,1195,2,2,59
Super built-up  Area,Ready To Move,Bannerghatta Road,2,DSnjh S,1022,2,1,35
Plot  Area,Ready To Move,Hegde Nagar,6,,760,6,0,98
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,Niers S,1264,2,,52
Super built-up  Area,Ready To Move,Chamrajpet,3,,1650,3,2,115
Super built-up  Area,Ready To Move,Abbigere,2,SLtias ,1020,2,1,40.8
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Klark L,4395,4,2,242
Built-up  Area,Ready To Move,Bommasandra,2,ALoraAu,950,2,1,25
Super built-up  Area,Not yet Ready,Shantiniketan Layout,4,,2710,5,3,142
Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,1936,3,1,131
Super built-up  Area,Ready To Move,Ramanashree Enclave,2,,1075,2,2,58
Super built-up  Area,Not yet Ready,Hosur Road,2,PuendWe,1223,2,1,93
Plot  Area,Not yet Ready,Whitefield,3,,1500,3,1,61.9
Built-up  Area,Ready To Move,Hennur,2,,1050,2,2,42.73
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,,2100,3,2,190
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5,,1200,4,2,240
Built-up  Area,Ready To Move,Uttarahalli,3,,1650,2,1,130
Super built-up  Area,Ready To Move,Whitefield,2,UKe 2nz,1495,2,1,78
Super built-up  Area,Ready To Move,JP Nagar,3,Adaveth,1500,2,3,82
Super built-up  Area,Not yet Ready,Koramangala,3,G ceses,1605,3,2,260
Super built-up  Area,Ready To Move,Whitefield,2,Suleyli,1270,2,2,52
Super built-up  Area,Ready To Move,Kumaraswami Layout,2,Shncyhi,1081,2,3,60
Super built-up  Area,Ready To Move,Koramangala,3,K ncy R,1600,2,0,140
Super built-up  Area,Not yet Ready,Kanakpura Road,3,Soazak ,1596,3,1,118
Plot  Area,Ready To Move,Vasanthpura,6,,600,6,2,65
Super built-up  Area,Ready To Move,Horamavu Agara,3,SKdesa ,1557,3,1,70
Built-up  Area,Ready To Move,Devi Nagar,3,,1410,3,3,68
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Puallhi,1984,4,1,148
Super built-up  Area,Ready To Move,Kadugodi,2,,1196,2,3,60
Super built-up  Area,Not yet Ready,Thanisandra,4,Bhe 2ko,2259,3,2,112
Super built-up  Area,Ready To Move,Kenchenahalli,3,Unateit,1720,3,,100
Plot  Area,Ready To Move,8th Phase JP Nagar,4,,600,5,2,99
Built-up  Area,Ready To Move,Nagaraja Garden,2,,1256,2,1,62.8
Super built-up  Area,Ready To Move,Haralur Road,2,,1243,2,2,46
Super built-up  Area,Not yet Ready,Electronic City Phase II,3,Sryalan,1310,2,1,37.83
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1140,2,1,57
Super built-up  Area,Ready To Move,Cooke Town,3,Scenth ,1600,3,2,260
Super built-up  Area,Ready To Move,Kothanur,3,Somumys,1790,3,2,120
Super built-up  Area,Ready To Move,Harlur,2,Shodsir,1470,2,0,72.76
Super built-up  Area,Ready To Move,Nehru Nagar,3,Veyalin,1674,3,,81
Plot  Area,Ready To Move,CV Raman Nagar,5,,1200,2,1,100
Super built-up  Area,Ready To Move,Kenchenhalli,3,MasicCl,1786,3,2,79.99
Plot  Area,Ready To Move,Vidyaranyapura,4,,770,3,2,65.25
Super built-up  Area,Not yet Ready,Sarjapur  Road,2,,1035,2,1,47
Super built-up  Area,Not yet Ready,Whitefield,3,Oreldhi,1564,3,1,103
Super built-up  Area,Not yet Ready,Margondanahalli,2,,1334,2,1,67.76
Plot  Area,Ready To Move,Defence Colony,10,,7150,13,,3600
Super built-up  Area,Not yet Ready,Bommasandra,3,SSestth,1365,3,1,53.96
Super built-up  Area,Ready To Move,Choodasandra,2,GRhtiru,1115,2,1,50
Super built-up  Area,Ready To Move,Jalahalli East,2,ShshaSa,1020,2,1,42.48
Super built-up  Area,Ready To Move,BCMC Layout,3,Anair A,1369,2,3,72
Super built-up  Area,Not yet Ready,Whitefield,2,SSdhimr,1240,2,2,41
Plot  Area,Ready To Move,Nagarbhavi,4,,600,3,2,100
Super built-up  Area,Ready To Move,Gollahalli,2,ArzzaRe,1418,2,1,62
Built-up  Area,Ready To Move,Hebbal,3,,2250,3,,219
Super built-up  Area,Ready To Move,Shivaji Nagar,2,,500,1,1,20
Super built-up  Area,Ready To Move,KR Puram,2,,1020,2,2,39
Built-up  Area,Ready To Move,Yelahanka New Town,2,G harth,1290,2,2,70
Plot  Area,Ready To Move,Attibele,3,,1500,3,2,90
Super built-up  Area,Ready To Move,Billekahalli,3,,1290,3,3,62
Super built-up  Area,Ready To Move,Jalahalli,3,Prarkll,1881,3,2,115
Super built-up  Area,Ready To Move,Jigani,2,DLhtsen,943,2,2,49.5
Built-up  Area,Not yet Ready,Electronic City,2,,1140,2,1,32.93
Super built-up  Area,Ready To Move,Nayandanahalli,2,Rarelt ,1035,2,2,60
Plot  Area,Not yet Ready,Whitefield,3,,1500,3,1,71
Super built-up  Area,Ready To Move,Sindhi Colony,5,HMeuran,5665.84,7,,988
Super built-up  Area,Not yet Ready,Nanjappa Layout,2,,1232,2,1,94.28
Super built-up  Area,Ready To Move,Uttarahalli,3,Ayaya A,1290,2,2,56.12
Super built-up  Area,Ready To Move,Malleshwaram,4,Apinaa ,2610,4,2,306
Super built-up  Area,Ready To Move,Anandapura,3,ViensRK,1576,3,2,58.7
Super built-up  Area,Ready To Move,Chinnapanahalli,2,,980,2,1,41
Super built-up  Area,Ready To Move,Hebbal,4,Brium C,4000,6,1,440
Super built-up  Area,Not yet Ready,Sarjapur  Road,2,PualeSk,1346,2,1,74.03
Super built-up  Area,Ready To Move,Hoodi,2,Sulla S,1181,2,2,55
Super built-up  Area,Ready To Move,Sathya Sai Layout,4,Prowshi,6652,6,1,660
Super built-up  Area,Ready To Move,Maragondanahalli,2,ArnzaFi,1307,2,2,59
Super built-up  Area,Not yet Ready,Roopena Agrahara,3,,1215,2,2,49.86
Super built-up  Area,Ready To Move,Sanjay nagar,2,,1180,2,3,80
Built-up  Area,Ready To Move,Amruthahalli,1,,600,1,1,55
Super built-up  Area,Ready To Move,Sarjapur  Road,2,,1115,2,2,50
Super built-up  Area,Ready To Move,Kanakapur main road,2,,1025,2,2,43.04
Super built-up  Area,Ready To Move,Ramagondanahalli,3,DNeremo,1910,3,2,131
Super built-up  Area,Ready To Move,Gottigere,2,i1ncyRe,1200,2,2,50
Built-up  Area,Not yet Ready,Church Street,4,CoDast ,2920,4,3,536
Super built-up  Area,Ready To Move,Hebbal,2,Prersis,1349,2,1,98
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,Shitt S,1175,2,1,60
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2,,1150,2,1,40.25
Super built-up  Area,Not yet Ready,Old Madras Road,2,Shmes O,935,2,1,32.72
Super built-up  Area,Ready To Move,Whitefield,3,SLiritn,1404,2,2,59
Built-up  Area,Ready To Move,BCC Layout,4,,2700,3,2,230
Built-up  Area,Ready To Move,HSR Layout,2,VaiewV ,1203,2,2,60
Plot  Area,Ready To Move,Nagavara,3,,440,3,1,35
Super built-up  Area,Ready To Move,Somasundara Palya,3,,1571,3,3,63
Super built-up  Area,Ready To Move,Mariyannapalya,2,,1125,2,2,46
Super built-up  Area,Not yet Ready,Kammasandra,1,Prony S,610,1,1,18.5
Super built-up  Area,Ready To Move,Ambalipura,2,,1198,2,2,80
Plot  Area,Ready To Move,Chandapura,3,Upldsin,1200,3,2,65
Super built-up  Area,Ready To Move,Nobo Nagar,2,VRaceer,1200,2,2,45
Plot  Area,Ready To Move,Sathya Sai Layout,4,Prowshi,6688,6,1,700
Super built-up  Area,Ready To Move,Crimson Layout,3,ARntyne,1830,3,2,95
Super built-up  Area,Not yet Ready,Kudlu Gate,3,Srods P,1432,2,2,61.11
Built-up  Area,Ready To Move,Somasundara Palya,3,Srhts P,2300,2,0,70
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,HMigond,1331.95,2,2,69
Super built-up  Area,Ready To Move,Yeshwanthpur,3,,1876,3,3,160
Super built-up  Area,Not yet Ready,Whitefield,3,Asarqz ,1639,3,2,107
Plot  Area,Ready To Move,Akshaya Nagar,4,,1200,4,2,125
Super built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1665,3,2,74.9
Super built-up  Area,Ready To Move,Kogilu,2,,1140,2,2,50.66
Super built-up  Area,Not yet Ready,Electronic City,4,KonteiT,2093,4,2,134
